id;titulo;autor;totalExemplares;exemplaresDisponiveis
192;PARA ENSINAR EDUCAÇĂO FÍSICA: possibilidades de intervençăo na escola;DARIDO, Suraya Cristina e SOUZA JÚNIOR, Osmar Moreira d;1;1
193;EROS E PSIQUĘ;APULEIO e GULLAR, Ferreira [trad.];1;1
194;CONTOS E LENDAS DE CIDADES E MUNDOS DESAPARECIDOS;JONAS, Anne;1;1
195;BEOWULF;KATZ, Welwyn Wilton;1;1
196;HISTÓRIAS DO AVÔ: histórias de deuses e heróis de várias culturas;MUTÉN, Burleigh;1;1
197;CONTOS E LENDAS DE UM VALE ENCANTADO: uma viagem pela cultura popular do vale do Paraíba;AZEVEDO, Ricardo;1;1
198;LENDAS BRASILEIRAS;CASCUDO, Luís da Câmara;1;1
199;VAQUEIROS E CANTADORES PARA JOVENS;CASCUDO, Luís da Câmara;1;1
200;CONTOS TRADICIONAIS DO BRASIL PARA JOVENS;CASCUDO, Luís da Câmara;1;1
201;CONTOS DOS MENINOS ÍNDIOS;DONATO, Hernâni;1;1
202;NOVAS LENDAS ORIENTAIS;TAHAN, Malba (Souza, Júlio César de Melo e);1;1
203;PRINCESA QUE ENGANOU A MORTE E OUTROS CONTOS INDIANOS, A;FORJAZ, Sonia Salerno;1;1
204;14 PÉROLAS DA ÍNDIA, AS;BRENMAN, Ilan e ZILBERMAN, Ionit;1;1
205;MĂE-D´ÁGUA;TKAINĂ e BACELLAR, Laura;1;1
206;PEDRO MALAZARTE E A ARARA GIGANTE;FURTADO, Jorge;1;1
207;AVENTURAS DE PEDRO MALASARTES;ALBISSU, Nelson;1;1
208;BOTIJA, A;TAVARES, Clotilde;1;1
209;PRÍNCIPE MEDROSO E OUTROS CONTOS AFRICANOS;SOLER-PONT, Anna;1;1
210;SÉTIMA NOITE DE VERĂO, A;TOKITAKA, Janaína;1;1
211;ERINÉ, O CAÇADOR E OUTROS CONTOS AFRICANOS;MARTINS, Adilson;1;1
212;CONTOS AFRICANOS DOS PAÍSES DE LÍNGUA PORTUGUESA;BRAGANÇA. Albertino et al.;1;1
213;NYANGARA CHENA, A COBRA CURANDEIRA;BARBOSA, Rogério Andrade;1;1
214;OMO-OBA: HISTÓRIAS DE PRINCESA;OLIVEIRA, Kiusan de;1;1
215;BICHO DE SETE CABEÇAS E OUTROS SERES FANTÁSTICOS;FERRZ, Eucanaă;1;1
216;HISTÓRIA DE AMOR SEM PALAVRAS, UMA;OLIVEIRA, Rui de;1;1
217;COLECIONADOR DE MANHĂS, O;MOREIRA-SANTOS, Walther;1;1
218;MZUNGU;MWANGI, Meja;1;1
219;BÁRBARA DEBAIXO DA CHUVA;LACERDA, Nilma;1;1
220;BIBLIOTECA MÁGICA DE BIBBI BOKKEN, A;GAARDER, Jostein e HAGERup, Klaus;1;1
221;DIÁRIO ABSOLUTAMENTE VERADEIRA DE UM ÍNDIO DE MEIO EXPEDIENTE;ALEXIE, Sherman;1;1
222;TURMAS DO PRÉDIO, DA RUA E DO BAIRRO;CUNHA, Leo e BENEVIDES, Ricardo;1;1
223;ASA-DE-PRATA;OPPEL, Keneth;1;1
224;FILHA DA VENDEDORA DE CRISÂNTEMOS, A;REZENDE, Stella Maris;1;1
225;HISTÓRIA DE CLARICE, A;RAMOS, Anna Cláudia;1;1
226;VIAGEM AO REDOR DE FELIPE;RITER, Caio;1;1
227;VENTO NOS SALGUEIROS, O;GRAHAME, Kenneth;1;1
228;METAMORFOSE DO LÍVIO;LEĂO, Liana;1;1
229;NUNCA SEREI UM SUPER-HERÓI;SANTA ANA, Antonio;1;1
230;ALMA DE FOGO: um episódio imaginado da vidad e Álvares de Azevedo;TEIXEIRA, Mario;1;1
231;VENDEM-SE UNICÓRNIOS;ÍNDIGO;1;1
232;VIDA E PAIXĂO DE PADOMAR, O CRUEL;RIBEIRO, Joăo Ubaldo;1;1
233;VIDA E OBRA DE ALETRÍCIA DEPOIS DE ZOROASTRO;QUEIRÓS, Bartolomeu Campos de;1;1
234;SABE DE UMA COISA? DIÁRIO DE UMA ADOLESCENTE;VIANA, Vivina de Assis;1;1
235;NUM REINO COR DE BURRO QUANDO FOGE;CAMARGO, Maria Amália;1;1
236;DIÁRIO DE SUSIE, O;MACFARLANE, A. e MCPHERSON, A.;1;1
237;JAMES E O PĘSSEGO GIGANTE;DAHL, Roald;1;1
238;LADRĂO DE RAIOS, O;RIORDAN, Rick;1;1
239;CORAÇĂO DE TINTA;FUNKE, Cornelia;1;1
240;OPERAÇĂO BURACO DE MINHOCA;BERGALLO, Laura;1;1
241;OS NATOS EM DEU A LOUCA NO MUNDO;JUNQUEYRA, Beto;1;1
242;GOTHAM SAMPA CITY;ZUGAIB, Eduardo;1;1
243;HISTÓRIAS PARA NĂO DORMIR: DEZ CONTOS DE TERROR;GUEDES, Luiz Roberto e HAMAYA, Emilio Satoshi;1;1
244;BAILARINA FANTASMA, A;ACIOLI, Socorro;1;1
245;PONTE PARA TERABÍTIA;PATERSON, Katherine;1;1
246;MASTERPIECE: CHEGOU A VEZ DE MARVIN NO MUNDO DA ARTE;BROACH, Elise;1;1
247;COMO VIVER PARA SEMPRE;THOMPSON, Colin;1;1
248;LOUCAS AVENTURAS DO BARĂO DE MUNCHAUSEN;RASPE, Rudolph Erich;1;1
249;LENORA;PRIETO, Heloisa;1;1
250;HISTÓRIAS DE ARREPIAR;DRUMMOND, Regina;1;1
251;MINHAS ASSOMBRAÇŐES;LAGO, Angela;1;1
252;HISTÓRIAS DE (IN)TOLERÂNCIA;AZEVEDO, Guila;1;1
253;BR.COM.SACI;BRANDĂO, Toni;1;1
254;MEMÓRIAS DE UM CORSÁRIO;TRELAWNAY, Edward John;1;1
255;COLAPSO DOS BIBELÔS, O;ÍNDIGO;1;1
256;MĂO DE VELUDO, O;MARTINS, Eliana;1;1
257;LETRAS PERDIDAS;DILL, Luís;1;1
258;CORSÁRIO NEGRO, O;SALGARI, Emilio;1;1
259;INVESTIGADOR DE SÓTAOS;MACHADO, Emerson;1;1
260;VIAGEM A LUA DE CANOA;ALMEIDA, Hugo;1;1
261;25 ANOS DO MININO MALUQUINHO;ZIRALDO;1;1
263;CAUSOS DE ASSOMBRAMENTO EM QUADRINHOS;PEREIRA, Maurício;1;1
265;BIDU 50 ANOS;SOUSA, Maurício;1;1
266;AVENTURAS DE HUCKLEBERRY FINN, AS;TWAIN, Mark e RATLIFF, Tom (adap.);1;1
267;PEANUTS COMPLETO1950-1952;SCHULZ, Charles M.;1;1
268;CURIOSO CASO DE BENJAMIN BUTTON, O;FITZGERALD, F. Scott;1;1
269;ROBIN HOOD: A LENDA DE UM FORAGIDO;LEE, Tony;1;1
270;MARCELINO PEDREGULHO;SEMPÉ, Jean-Jacques;1;1
271;MAURÍCIO DE SOUSA POR 50 ARTISTAS;SOUSA,  Maurício de;1;1
272;MALUQUINHO POR FUTEBOL;ZIRALDO;1;1
273;ANIVERSÁRIO DE ASTERIX E OBELIX, O;GOSCINNNY, René e UDERZO, A.;1;1
274;QUILOMBO ORUM AIĘ;DINIZ, André;1;1
275;DIÁRIO DA JULIETA: as histórias mais secretas da Menina Maluquinha;ZIRALDO;1;1
276;PALMARES, A LUTA PELA LIBERDADE;VETILLO, Eduardo;1;1
277;MOBY DICK;MELVILLE, Herman e STAHLBERG, Lance (adap.);1;1
278;MEMÓRIAS DE UM SARGENTO DE MILÍCIAS;JAF, Ivan e R0SA, Rodrigo;1;1
281;EU E OS OUTROS PIONEIROS DA AVIAÇĂO;PIQUEIRA, Gustavo;1;1
282;HERDEIROS DO LOBO;CRUZ, Nelson;1;1
283;ESTRATÉGIAS DE LEITURA;SOLÉ, Isabel;1;1
284;INTEGRAÇĂO DE CRIANÇAS DE 6 ANOS NO ENSINO FUNDAMENTAL;BARBATO, Silviane Bonaccorsi;1;1
285;FALAR, LER E ESCREVER EM SALA DE AULA: do período pós-alfabetizaçăo ao 5o. Ano;BORTONI-RICARDO, Stella Maris e SOUSA, Maria Alice Fernandes de;1;1
286;ENSINO DE HISTÓRIA NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL - METODOLOGIAS E CONCEITOS, O;HIPOLIDE, Márcia;1;1
287;CIĘNCIAS: ENSINAR E APRENDER: Anos iniciais do ensino fundamental;MORAIS, Marta e ANDRADE, Maria Hilda de Paiva;1;1
288;DA ESCOLA PARA CASA: ALFABETIZAÇĂO;RIOS, Zoé e LIBÂNIO, Márcia;1;1
289;ENSINO DE GEOMETRIA NA ESCOLA FUNDAMENTAL: tręs questőes para a formaçăo do professor dos ciclos iniciais;FONSECA, Maria da Conceiçăo F. R. et al.;1;1
290;DESENVOLVIMENTO DE COMPETĘNCIAS MATEMÁTICAS COM RECURSOS LÚDICO-MANIPULATIVOS: para crianças de 6 a 12 anos;PASTELLS, Ángel Alsina i;1;1
