id;titulo;autor;totalExemplares;exemplaresDisponiveis
432;ATLAS GEOGRÁFICO ESCOLAR: Ensino Fundamental 6o. Ao 9o. Ano;IBGE;3;3
433;AMIGOS SECRETOS;MACHADO, Ana Maria;1;1
434;TRANSPLANTE DE MENINA;BELINKY, Tatiana;1;1
435;DO OUTRO LADO TEM SEGREDOS;MACHADO, Ana Maria;1;1
436;RAPTO DO GAROTO DE OURO, O;REY, Marcos;1;1
437;FITA VERDE NO CABELO: Nova velha história;GUIMARĂES ROSA, Joăo;1;1
438;HISTÓRIAS DE ALEXANDRE;RAMOS, Graciliano;1;1
439;HISTÓRIAS DA VELHA TOTÔNIA;REGO, José Lins;1;1
440;REENCONTRO, O;UHLMAN, Fred;1;1
441;VOZ DO OUTRO MUNDO, UMA;PATRIOTA, Margarida;1;1
442;PAI QUE VOA;GOULART, Mário;1;1
443;ARTE E CIĘNCIA DE ROUBAR GALINHAS;RIBEIRO, Joăo Ubaldo;1;1
444;VISCONDE PARTIDO AO MEIO, O;CALVINO, Italo;1;1
445;ALMA DO URSO, A;BERNARDO, Gustavo;1;1
446;AUTOBIOGRAFIA DE UM SUPER-HERÓI;SOUZA, Alexandre Barbosa de;1;1
447;ROMANCE DA ONÇA DRAGONA;MENDONÇA, Bernardo de;1;1
448;DÁLMATA DESCONTROLADO, UM;ÍNDIGO;1;1
449;50 FÁBULAS DA CHINA FABULOSA;CAPPARELLI, Sérgio e SCHMALTZ, Márcia;1;1
450;MARLEY E EU;GROGAN, John;1;1
451;CONFISSŐES DE UM VIRA-LATA;LESSA, Orígenes;1;1
453;ALFRED BINET;ZAZZO, René;2;2
454;ANDRÉS BELLO;WEINBERG, Gregorio;2;2
455;ANTON MAKARENKO;FILONOV, G. N.;2;2
456;ANTONIO GRAMSCI;MONASTA, Attilio;2;2
457;CÉLESTIN FREINET;LEGRAND, Louis;2;2
458;DOMINGO SARMENTO;BRAVO, Héctor Félix;2;2
459;ÉMILE DURKHEIM;FILLOUX, Jean-Claude;2;2
460;FREDERIC SKINNER;SMITH, Louis M.;2;2
461;FRIEDRICH HEGEL;PLEINES, Jürgen-Eckardt;2;2
462;GEORG KERSCHENSTEINER;RÖHRS, Hermann;2;2
463;IVAN ILLICH;GAJARDO, Marcela;2;2
464;JAN AMOS COMĘNIOS;PIAGET, Jean;2;2
465;JEAN-JACQUES ROUSEAU;SOËTARD, Michel;2;2
466;JEAN-OVIDE DECROLY;DUBREUCQ, Francine;2;2
467;JOSÉ MARTÍ;NASSIF, Ricardo;2;2
468;JOHANN HERBART;HILGENHEGER, Norbert;2;2
469;JOSÉ PEDRO VARELA;DEMARCHI, Marta e RODRIGUEZ, Hugo;2;2
470;ORTEGA Y GASSET;SÁNCHEZ, Juan Escámez;2;2
471;ROGER COUSINET;RAILLON, Louis;2;2
472;SIGMUND FREUD;JOLIBERT, Bernard;2;2
473;BOGDAN SUCHODOLSKI;WOJNAR, Irena;2;2
474;CARL ROGERS;ZIMRING, Fred;2;2
475;ÉDOUARD CLAPARČDE;HAMELINE, Daniel;2;2
476;FRIEDRICH FRÖEBEL;HEILAND, Helmut;2;2
477;HENRI WALLON;GRATIOT-ALFANDÉRY, Hélčne;2;2
478;JEAN PIAGET;MUNARI, Alberto;2;2
479;JOHN DEWEY;WESTBROOK, Robert B. e TEIXEIRA, Anísio;2;2
480;JOHANN PESTALOZZI;SOËTARD, Michel;2;2
481;LEV SEMIONOVICH VYGOTSKY;IVIC, Ivan;2;2
482;MARIA MONTESSORI;RÖHRS, Hermann;2;2
483;MANIFESTO DOS PIONEIROS DA EDUCAÇĂO NOVA (1932) E DOS EDUCADORES (1959);AZEVEDO, Fernando et al.;2;2
484;ALCEU AMOROSO LIMA;CURY, Carlos Roberto Jamil;2;2
485;ALMEIDA JÚNIOR;GANDINI, Raquel;2;2
486;ANÍSIO TEIXEIRA;NUNES, Clarice;2;2
487;APARECIDA JOLY GOUVEIA;LÜDKE, Menga;2;2
488;ARMANDA ÁLVARO ALBERTO;MIGNOT, Ana Chrystina Venancio;2;2
489;AZEREDO COUTINHO;ALVES, Gilberto Luiz;2;2
490;BERTHA LUTZ;LÔBO, Yolanda;2;2
491;CECÍLIA MEIRELES;LÔBO, Yolanda;2;2
492;CELSO SUCKOW DA FONSECA;CIAVATTA, Maria e SILVEIRA, Zuleide Simas da;2;2
493;DARCY RIBEIRO;GOMES, Candido Alberto;2;2
494;DURMEVAL TRIGUEIRO;FÁVERO, Maria de Lourdes de Albuquerque e FÁVERO, Osmar;2;2
495;EDGARD ROQUETTE-PINTO;RANGEL, Jorde Antonio (Fidel);2;2
496;FERNANDO DE AZEVEDO;PENNA, Maria Luiza;2;2
497;FLORESTAN FERNANDES;OLIVEIRA, Marco Marques de;2;2
498;FROTA PESSOA;VIEIRA, Sofia Lerche;2;2
499;GILBERTO FREYRE;LIMA, Mário Hélio Gomes de;2;2
500;GUSTAVO CAPANEMA;HORTA, José Silvério Baia;2;2
501;HEITOR VILLA-LOBOS;SANTOS, Marco Antonio Carvalho;2;2
502;HELENA ANTIPOFF;CAMPOS, Regina Helena de Siqueira;2;2
503;HUMBERTO MAURO;RANGEL, Jorde Antonio (Fidel);2;2
504;JOSÉ MARIO PIRES AZANHA;CARVALHO, José Sérgio da Fonseca;2;2
505;JULIO DE MESQUITA FILHO;PONTES, José Alfredo Vidigal;2;2
506;LOURENÇO FILHO;MONARCHA, Carlos;2;2
507;MANOEL BOMFIM;GONTIJO, Rebeca;2;2
508;MANUEL DA NÓBREGA;HANSEN, Joăo Adolfo;2;2
509;NÍSIA FLORESTA;DUARTE, Constância Lima;2;2
510;PASCHOAL LEMME;BRANDĂO, Zaia;2;2
511;PAULO FREIRE;BEISIEGEL, Celso Rui;2;2
512;RUI BARBOSA;MACHADO, Maria Cristina Gomes;2;2
513;SAMPAIO DÓRIA;CARVALHO, Marta Maria Chagas de;2;2
514;VALNIR CHAGAS;PINTO, Aloylson Gregório de Toledo;2;2
515;REPÚBLICA DAS SAÚVAS, A;NISKIER, Arnaldo;1;1
516;ABC QUER BRINCAR COM VOCĘ;SANTOS, José e ALCY;1;1
517;COBRAS EM COMPOTA;ÍNDIGO;4;4
518;CONVERSA COM EDUCADORES;CADEMARTORI, Ligia;4;4
519;MADALENA;DANTAS, Cristiane;4;4
520;TUBARĂO COM A FACA NAS COSTAS;DIAS, Cezar;4;4
521;CARAVELA (Redescobrimentos);BICALHO, Gabriel;4;4
522;ENTRE AS JUNTURAS E OS OSSOS;OLIVEIRA, Vera Lúcia de;4;4
523;LÉO, O PARDO;TEIXEIRA, Rinaldo Santos;4;4
524;FAMÍLIA COMPOSTA;PELLEGRINI, Domingos;4;4
525;BATATA COZIDA, MINGAU DE CARÁ;BOCHECO, Eloí Elisabete;4;4
526;ABRAĂO E AS FRUTAS;MENDONÇA, Luciana V. P. de;4;4
527;CABELOS MOLHADOS;PIMENTEL, Luís;4;4
528;ABC QUER BRINCAR COM VOCĘ;SANTOS, José e ALCY;1;1
529;FLAUTA MÁGICA, A;JACOB, Dionísio;4;4
530;LIÇŐES DA ÁRVORE;LOPES, Lia Salomăo e MARCONDES, Débora Pontalti;1;1
531;CONFLITOS SOCIOAMBIENTAIS DO PARQUE NATURAL MUNICIPAL FAZENDA DO CARMO;MARTINS, Anita C. e LOBĂO, Pedro d Sá Petit;1;1
532;DITO E FEITO;ARMSTRONG, Jennifer e ROOT, KIMBERLY BULCKEN;1;1
535;NO PÉ DA LETRA;SILVEIRA, Maria Luiza Faraone;1;1
536;DICIONÁRIO MACHADO DE ASSIS: ONTEM, HOJE E SEMPRE;CORONEL, Luiz;1;1
537;DICIONÁRIO INGLĘS / PORTUGUĘS;MARQUES, Amadeu;40;40
538;NAS RUAS DO BRÁS;VARELLA, Drauzio;1;1
539;1984;ORWELL, Geoge;1;1
540;UMA CRIANÇA NO INFERNO QUANDO A VIOLĘNCIA ESTA ONDE NĂO DEVERIA;PELZER, Dave;1;1
541;VÁRIAS HISTÓRIAS;MACHADO DE ASSIS, Joaquim M.;1;1
542;CONTOS ESCOLHIDOS;AZEVEDO, Artur de;1;1
543;CONTOS FANTÁSTICOS: A Horla e outras histórias;MAUPASSANT, Guy de;1;1
544;HISTÓRIAS EXTRAORDINÁRIAS;POE, Edgar Allan;1;1
545;LÍNGUA DE EULÁLIA, A: novela sociolinguística;BAGNO, Marcos;1;1
546;SOLDADO BRASILEIRO NO HAITI, UM;RUPPENTHAL, Tailon;1;1
547;ERA UMA VEZ... Uma fábula sem fim;SANTOS, Ronald José Pereira dos;1;1
548;CICLO DA AUTO-SABOTAGEM, O;ROSNER, Stanley e HERMES, Patricia;1;1
549;FLORES E O CÓDIGO 45, AS;SCHIAVONE, Odair;1;1
550;OLHANDO PARA O OUTRO LADO;BRAZ, Julio Emílio;1;1
551;AMARELINHO;JOSÉ, Ganymédes;1;1
552;COM A PONTA DOS DEDOS E OS OLHOS NO CORAÇĂO;IANNONE, Leila Rentroia;1;1
553;MENINA BONITA DO LAÇO DE FITA;MACHADO, Ana Maria;1;1
554;FELICIDADE NĂO TEM COR;BRAZ,  Julio Emílio;1;1
555;FADA DO DIA, A;ARRUDA, Luzia Helena Mathias;1;1
556;FÁBULAS DE LA FONTAINE;FONTAINE, La;1;1
557;GOOSEBUMPS: Como matar um monstro;R. L .Stine;1;1
558;GOOSEBUMPS: Sorria e morra...outra vez!;R. L .Stine;1;1
559;NUMA NOITE MUITO ESCURA;PRESCOTT, Simon;1;1
560;PEDRO;QUEIRÓS, Bartolomeu Campos de;1;1
561;MĂO QUE CONTA HISTÓRIA;LEITE, Márcia;1;1
562;ELEFANTES NUNCA ESQUECEM!;RAVISHANKAR, Anushka;1;1
563;LIVRO DAS MÁKINAS MALUKAS;GUEDES,Lluiz Roberto;1;1
564;CHAPEUZINHOS COLORIDOS;TORERO, José Roberto e PIMENTA, Marcus Aurélio;1;1
565;MENINO QUE ESPIAVA PRA DENTRO, O;MACHADO, Ana Maria;1;1
566;INSÔNIA;SKÁRMETA, Antonio e RUANO, Alfonso;1;1
567;CONDOMÍNIO DOS MONSTROS;GOMES, Alexandre de Castro;1;1
568;TAMANHO DA GENTE, O;CISALPINO, Murilo;1;1
569;FÁBULAS;LOBATO, Monteiro;1;1
570;ALICE NO TELHADO;CRUZ, Nelson;1;1
571;ATÉ AS PRINCESAS SOLTAM PUM;BRENMAN, Ilan e ZILBERMAN, Ionit;2;2
572;MAURÍCIO: O LEĂO DE MENINO;FLÁVIA MARIA;1;1
573;MEMÓRIAS DA EMÍLIA;LOBATO, Monteiro;1;1
574;FLAUTISTA MISTERIOSO E OS RATOS DE HAMELIN;TAVARES, Bráulio;1;1
575;CLASSIFICADOS E NEM TANTO;COLASANTI, Marina;1;1
576;CASA DAS DEZ FURUNFUFELHAS, A;GOMES, Lenice;1;1
577;DEZENOVE POEMAS DESENGONÇADOS;AZEVEDO, Ricardo;1;1
578;CAVALINHO AZUL, O;MACHADO, Ana Maria;1;1
579;GRANDE FÁBRICA DE PALAVRAS, A;LESTRADE, Agnčs de e DOCAMPO, Valeria;1;1
580;PALAVRAS, PALAVRINHAS E PALAVRŐES;MACHADO, Ana Maria;1;1
581;COELHO QUE FUGIU DA HISTÓRIA, O;MANJATE, Rogério;1;1
582;ISTO É UM POEMA QUE CURA OS PEIXES;SIMÉON, Jean-Pierre e TALLEC, Olivier;1;1
583;MELHOR FAMÍLIA DO MUNDO, A;LÓPEZ, Susana;1;1
584;ALVO, O;BRENMAN, Ilan;1;1
585;PINTOR DE LEMBRANÇAS, O;CAŃIZO, José Antonio del;1;1
586;E O QUE VEM DEPOIS DE MIL?;BLEY, Anette;1;1
587;POESIA NA VARANDA;JUNQUEIRA, Sonia;1;1
588;HISTÓRIA DA RESSUREIÇĂO DO PAPAGAIO;GALEANO, Eduardo;1;1
589;PAPAI URSO;EUDAVE, Cecilia;1;1
590;CONTROLE REMOTO;FREITAS, Tino;1;1
591;FANTÁSTICO MISTÉRIO DE FEIURINHA, O;BANDEIRA, Pedro;1;1
592;WABI SABI;REIBSTEIN, Mark;1;1
593;HISTÓRIAS DE QUEM CONTA HISTÓRIAS;GOMES, Lenice e MARQUES, Fabiano;1;1
594;VIDA ÍNTIMA DE LAURA E OUTROS CONTOS;LISPECTOR, Clarice;1;1
595;COMO TREINAR O SEU DRAGĂO;COWELL, Cressida;1;1
596;ALICE NO PAÍS DAS MARAVILHAS;CARROLL, Lewis;1;1
597;PEQUENA SEREIA, A;ANDERSEN, Hans Christian e MOLHANT, Muriel (adap.);1;1
598;PEQUENA MARIONETE, A;VINCENT, GABRIELLE;1;1
599;VIZINHOS, OS;SITCHIN, Henrique;1;1
600;TURMA DA MÔNICA: ROMEU E JULIETA;SOUSA, Maurício;1;1
601;TURMA DO PERERĘ: 365 DIAS NA MATA DO FUNDĂO;ZIRALDO;1;1
602;MITOS: O FOLCLORE DO MESTRE ANDRÉ (livro + CD);XAVIER, Marcelo;1;1
603;ISSO ISSO;KUASNE, Selma Maria;1;1
604;É TUDO INVENÇĂO;SILVESTRIN, Ricardo;1;1
605;TRAÇO E A TRAÇA, O;MURRAY, Roseana;1;1
606;MALUCO DO CÉU, O;GOBEL, Anna;1;1
607;CARROSSEL, O;RILKE, Maria Rainer;1;1
608;ÁRVORE GENEROSA, A;SILVERSTEIN, Shel;1;1
609;ODE A UMA ESTRELA;NERUDA, Pablo;1;1
610;TREM DE ALAGOAS;FERREIRA, ASCENSO;1;1
611;LENDAS DA ÁFRICA  MODERNA;LIMA, Heloísa Pires;1;1
612;HITÓRIA DE BICHOS BRASILEIROS;VAL, Vera do;1;1
613;JOĂO CABEÇA DE FEIJĂO;UZAM, Dário;1;1
614;NOME DO FILME É AMAZONIA, O;ASSUNÇĂO, Paulinho;1;1
615;REINO ADORMECIDO, O;CUNHA, Leo;1;1
616;GIROS CONTOS DE ENCANTAR;BEHRNDT, Mila;1;1
617;PRINCIPES E PRINCESAS SAPOS E LAGARTOS;SOUZA, Flavio de;1;1
618;COMPOTEIRA, A;SISTO, Celso;1;1
619;LOBO, O;HETZEL, Graziela Bozano;1;1
620;ZOOLOGIA BIZARRA;GULLAR, Ferreira;1;1
621;LILA E O SEGREDO DA CHUVA;CONWAY, David;1;1
622;AVENTURAS DE UM RATINHO NA CIDADE GRANDE, AS;PRESCOTT, Simon;1;1
623;DISCURSO DO URSO;CORTÁZAR, Júlio;1;1
624;AURORA;BIAZETO, Cristina;1;1
625;JUNTA SEPARA E GUARDA;DIAS, Vera Lucia;1;1
626;BICHOS QUE TIVE, OS;ORTHOF, Sylvia;1;1
627;GABI, PERDI A HORA!;BASÍLIO, Joăo;1;1
628;QUEM TEM MEDO DE RIDÍCULO?;ROCHA, Ruth;1;1
629;TOCA DE GENTE, CASA DE GENTE;MARTINS, Mauro;1;1
630;CASACO DE PUPA, O;FERRANDIZ, Elena;1;1
631;GUARDA-CHUVA VERDE, O;DONG-JAE, Yun;1;1
632;MENINO QUE COMIA LAGARTOS, O;LÓPEZ, Mercę;1;1
633;MINHA CASA AZUL;SERRES, Alain;1;1
634;CONTOS DE FADAS;MACHADO, Ana Maria;1;1
635;OBAX;NEVES, André;1;1
636;CHAPEUZINHO VERMELHO UMA AVENTURA BORBULHANTE;ROBERTS, Lynn;1;1
637;UM SUJEITO SEM QUALIDADES;ALPHEN, Jean Claude R.;1;1
638;JUVENAL E O DRAGĂO;ROSINHA;1;1
639;ROMEU E JULIETA;ROCHA, Ruth;1;1
640;CAMINHO DE CASA, A;BUITRAGO, Jairo e YOCKTENG, Rafael;1;1
641;LUA DENTRO DO COCO, A;CAPPARELLI, Sérgio;1;1
642;JARDIM DE HAIJIN;RUIZ S, Alice;1;1
643;FAZEDOR DE TATUAGEM;AZEVEDO,Ricardo;1;1
644;JOĂO ESPERTO LEVA O PRESENTE CERTO;FLEMING, Candace e KARAS, G.Brian;1;1
645;DEZ CASAS E UM POSTE QUE PEDRO FEZ;BERNARDI Jr, Hermes;1;1
646;CARAMINHOLAS DE BARRIGAPÉ;BAGNO, Marcos;1;1
647;EXERCÍCIOS DE SER CRIANÇA;BARROS, Manoel de;1;1
648;QUANDO NASCE UM MONSTRO;TYLOR, Sean e SHARRATT, Nick;1;1
649;ARAPUCA;CABRAL, Daniel;1;1
650;FEMININA DE MENINA , MASCULINO DE MENINO;LEITE, Márcia;1;1
651;SUPERAMIGOS;REMPT, Fiona e SMIT,Noelle;1;1
652;COMO UM PEIXE NA ÁGUA;NESQUENS, Daniel;1;1
653;MENINO MAIS FEIO DO MUNDO, O;CHAMLIAN, Regina e ALEXANDRINO, Helena;1;1
654;TAMANHO DO MEU SONHO, O;WECHTEROWICZ, Przemyslaw;1;1
655;LOUCA POR BICHOS;PORTELA, Miriam;1;1
656;QUEM CANTA SEUS MALES ESPANTA 2      (livro + CD );ALMEIDA, Teodora Maria Mendes de;1;1
657;ARCA DE NOÉ, A;MORAES, Vinicius de;1;1
658;BRUXA, BRUXA VENHA A MINHA FESTA;DRUCE,M Arden;1;1
659;CONTOS DE PERRAULT;ALMEIDA, Fernanda Lopes de;1;1
660;CASA SONOLENTA, A;WOOD, Audrey;1;1
661;REI BIGODEIRA E SUA BANHEIRA, O;WOOD, Audrey;1;1
662;SETE CABRITINHOS, OS;BALLESTEROS, Xosé;1;1
663;BOI DA CARA PRETA;CAPARELLI, Sérgio;1;1
664;CABRITOS, CABRITŐES;GONZALEZ, Olalla;1;1
665;QUEM QUER BRINCAR DE PIQUE-ESCONDE?;CARPANEDA, Isabella e BRAGANÇA, Agiolina;1;1
666;SALADA, SALADINHA;NOBREGA,Maria Jopsé e PAMPLPONA, Rosane;1;1
667;O GRANDE RABANETE;BELINKY, Tatiana;1;1
668;FIZ VOAR O MEU CHAPÉU;MACHADO, Ana Maria;1;1
669;BICHO FOLHARAL, O;LAGO, Angela;1;1
670;FLAUTA DO TATU, A;LAGO, Angela;1;1
671;PĘSSEGO, PERA, AMEIXA NO POMAR;AHLBERG, Janete;1;1
672;UMA GIRAFA E TANTO;SILVERSTEIN, Shel;1;1
673;QUEM CANTA SEUS MALES ESPANTA         (livro + CD );ALMEIDA, Teodora Maria Mendes de;1;1
674;CANTA E DANÇA                                               (livro + CD );SANSON, Suzana e LIMA, Graça;1;1
675;VOLTA AO MUNDO EM 52 HISTÓRIAS;PHILIP, Neil;1;1
676;DIÁRIO DE UMA PAIXĂO;SPARKS, Nicholas;1;1
677;NOITES DE TORMENTA;SPARKS, Nicholas;1;1
678;AMOR PARA RECORDAR, UM;SPARKS, Nicholas;1;1
679;HOMEM DE SORTE, UM;SPARKS, Nicholas;1;1
680;ÚLTIMA MÚSICA, A;SPARKS, Nicholas;1;1
681;QUERIDO JOHN;SPARKS, Nicholas;1;1
682;ESTE AMOR VEIO PARA FICAR;GOMES, Álvaro Cardoso;1;1
683;MULHERES PÚBLICAS;PERROT, Michelle;5;5
684;HISTÓRIAS PARA CONTAR;CAPUTO, Natha e BRYANT, Sara Cone;1;1
685;ENTRANDO NO EIXO ENTRE EIXOS;PATRIOTA, Margarida;1;1
686;PIRATA MUITO SÓ, UM;CRISPUN, Denise;1;1
687;NO INÍCIO DOS TEMPOS;VIEGAS, Sueli;1;1
688;CÉU NOTURNO;DRISCOLL, Michael;1;1
689;FEBRE DO PLANETA, A;GARCIA, Edson  Gabriel;1;1
690;PLANETÁRIO, O;CARRARO, Fernando;1;1
691;ESCOLA MORADA DE INVENTOR E OUTROS CONTOS;JOSÉ, Elias;1;1
692;QUE BICHO É?;GOMES, Álvaro Cardoso;1;1
693;GARGALHADA DE ALEGRIA DE DONA ECOLOGIA, A;JONAS, Ribeiro;1;1
694;NĂO SE MATA NA MATA LEMBRANÇAS DE RONDON;MACHADO, Ana Maria;1;1
695;TAMANHO DO MEU SONHO, O;WECHTEROWICZ, Przemyslaw;2;2
696;NATURAIS CIĘNCIAS DE TATSU NAGATA, AS;TATSU, Nagata;2;2
697;E AÍ BICHO ?;LACOMBE, Luis Ernesto;2;2
698;QUEM SOU EU ?;BRANT, Luis Caldeira e GRANATO, Suzana Facchini;1;1
699;MENINA QUE BATIZOU PLUTĂO, A;MCCUTHEON, Marc;1;1
700;EU VI !;RIBEIRO, Jonas;1;1
701;JOĂO PRESTE ATENÇĂO !;SECCO, Patricia Engel;1;1
702;VIAGEM DOS ALIMENTOS, A;AMADO, Janaína e FIGUEIREDO, Luiz Carlos;1;1
703;HISTÓRIAS DE DINOSSAUROS;DARGENT, Nathalie;1;1
704;TRĘS PORQUINHOS DE POCELANA, OS;FREITAS, Tino;1;1
705;GRITO DO RIO TIETĘ, O;PIEDADE, Amir;1;1
706;ORIGEM DOS NÚMEROS, A;LEE, Ji Won;1;1
707;MARI E AS COISAS DA VIDA;MORTIER, Tine e VERMEIRE, Kaatje;1;1
708;BICHINHO SÓ PRA MIM, UM;BARROS, Sônia;2;2
709;GIRAFA TEM TORCICOLO ?;DOMENICHELLI, Guilherme;1;1
710;LIVRO DOS JOGOS E BRINCADEIRAS E BAGUNÇAS DO MENINO MALUQUINO;ZIRALDO;4;4
711;MENINO DA TERRA, O;ZIRALDO;1;1
712;TERRA SEM MALES;GALDINO, Luiz;1;1
713;NATAL DO AVARENTO, O;DICKENS, Chales;1;1
714;HISTÓRIA DOS ESCRAVOS, A;LUSTOSA, Isabel;1;1
715;COCADAS, AS;CORALINA, Cora;1;1
716;VOO DE ÍCARO, O;GUASCO, Luiz;1;1
717;COISAS QUE A GENTE PEGA E COISAS QUE A GENTE NĂO PEGA;MINKOVICIUS, Ivo;1;1
718;ANDARILHOS;XAVIER, Marcelo;1;1
719;VALKÍRIAS, AS;COELHO, Paulo;1;1
720;NA MARGEM DO RIO PIEDRA EU SENTEI E CHOREI;COELHO, Paulo;1;1
721;ONZE MINUTOS;COELHO, Paulo;1;1
722;ALQUIMISTA, O;COELHO, Paulo;1;1
723;DIÁRIO DE UM MAGO, O;COELHO, Paulo;1;1
724;VERONIKA DECIDE MORRER;COELHO, Paulo;1;1
725;MANUAL DO GUERREIRO DA LUZ, O;COELHO, Paulo;1;1
726;FOLCLORE E LENDAS  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
727;PERSONALIDADES E PERSONAGENS  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
728;ILHA DO TESOURO, A  (livro + CD );STEVENSON, Robert Louis;1;1
729;MINHAS FÁBULAS DE ESOPO;MORPURGO, Michael e CLARK, Emma Chichester;1;1
730;TELEFONE SEM FIO;BRENMAN, Ilan e MORICONI, Renato;1;1
731;GUIA DA ALAGAËSIA DE ERAGON, O (livro pop up);PAOLINI, Christopher;1;1
732;ARTES  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
733;BEM BRASILEIRINHOS (Livro + CD + jogo da memória);LALAU e LAURABEATRIZ;1;1
734;RELIGIĂO AFRICANA NO BRASIL  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
735;INFLUĘNCIA AFRICANA NO NOSSO IDIOMA, A  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
736;LENDAS BRASILEIRAS (Livro + CD);SOUSA, Maurício;2;2
737;FESTA DA SALAMANDRA;MITTER, MATT e VIOLA, Karen;2;2
738;FESTAS POPULARES  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
739;HISTÓRIA DOS AFRICANOS NO BRASIL, A  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
740;JOGOS, BRINCADEIRAS E CANTIGAS (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
741;CULINÁRIA BRASILEIRA  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
742;ATUALIDADES EM AFRICANIDADES  (livro + CD );DIAS FILHO, Antonio Jonas e HONORA, Márcia;1;1
743;MARINHEIRO RASGADO;AZEVEDO, Ricardo;1;1
744;CERTO LIVRO DE AREIA, UM;BITARĂES NETTO, Adriano;1;1
745;COLEÇĂO DE BRUXAS DO MEU PAI e MAMĂE TROUXE UM LOBO PARA CASA!;STRAUZ, Rosa Amanda;1;1
746;TRĘS FORMIGAS AMIGAS;XAVIER, Marcelo;1;1
747;VAQUINHA QUADRADA, A;ARIKAWA, Monalisa;1;1
748;MINHA PRINCESA AFRICANA;VASSALO, Marcio;1;1
749;OBAX;NEVES, André;1;1
750;ÁGUA;GARCEZ, Lucília e GARCEZ, Cristina;1;1
751;SALTIMBANCOS, OS;BUARQUE, Chico;1;1
752;CHICLETE GRUDADO EMBAIXO DA MESA;RIOS, Rosana;1;1
753;FELICIDADE DAS BORBOLETAS, A;SECCO, Patricia Engel;1;1
754;NOEL O MENINO DA VILA;BULCĂO,Clóvis e  BULCĂO, Márcia;1;1
755;CARTOLA;DINIZ, Edinha e BONITO, Angelo;1;1
756;MENINO QUE MORDEU PICASSO, O;PENROSE, Antony;1;1
757;CHAPÉU SEM PÉ NEM CABEÇA, UM;BARETO, TIAGO;1;1
758;COBRANÇA, A PRINCESA E A SURPRESA;LINCK, CELSO;1;1
759;VISITA DA CIGARRA, A;ZAGURY, Tania;1;1
760;SUJEITO SEM QUALIDADES, UM;ALPHEN, Jean Claude R.;1;1
761;TRĘS JACAREZINHOS, OS;KETTEMAN, Helen;1;1
762;VIAGEM DE VASCO DA GAMA, A;AMADO, Janaína e FIGUEIREDO, Luiz Carlos;1;1
763;PEQUENOS CONTOS PARA RIR;IVANOVITCH-LAIR, Albena;1;1
764;PSIQUĘ;LAGO, Angela;1;1
765;MODA UMA HISTÓRIA PARA CRIANÇAS;CANTON, Katia;1;1
766;GUERRA DOS BICHOS, A;ALBUQUERQUE, Luiiz Carlos;1;1
767;TEM UM MONSTRO NO MEU JARDIM;TOKITAKA, Janaína;1;1
768;MENINA DO CASTELINHO DE JOIAS, A;TAKEDA, André;1;1
769;HISTÓRIA DA REISSURREIÇĂO DO PAPAGAIO;GALEANO, Eduardo;1;1
770;HISTÓRIAS PARA ACORDAR;FRATE, Dilea;1;1
771;VIAGEM DE FILOMENA, A;GRANADO, Vera;1;1
772;BICHOS DO CERRADO;PUHLER, Eunice;1;1
773;DIÁRIO DE UM BANANA;KINNEY, Jeff;1;1
774;DIÁRIO DE UM BANANA: DIAS DE CĂO;KINNEY, Jeff;1;1
775;DIÁRIO DE UM BANANA: RODRICK É O CARA;KINNEY, Jeff;1;1
776;COMO FALAR DRAGONĘS;COWELL, Cressida;1;1
777;COMO QUEBRAR A MALDIÇĂO DE UM DRAGĂO;COWELL, Cressida;1;1
778;COMO MUDAR UMA HISTÓRIA DE DRAGĂO;COWELL, Cressida;1;1
779;GUIA DO HERÓI PARA VENCER DRAGŐES MORTAIS;COWELL, Cressida;2;2
780;DIÁRIO DE ANNE FRANK, O;FRANK, Anne;1;1
781;INVENÇĂO DE HUGO CABRET, A;SELZNICK, Brian;1;1
782;HARRY POTTER E O ENIGMA DO PRÍNCIPE;ROWLING, J. K.;1;1
783;1000 COISAS INÚTEIS QUE UM GAROTO DEVERIA SABER ANTES DE CRESCER;LITVIN, Aníbal e KOSTZER, Mario;1;1
784;CRÔNICAS DE SPIDERWICK A PEDRA DA VISĂO;DITERLIZZI, Tony;1;1
785;LADRĂO DE RAIOS, O;RIORDAN, Rick;1;1
786;VISITANTE NOTURNO, O;ITURBE, Antonio G. e OMIST, Alex;1;1
787;AJUDANTE QUE MUITO AJUDA, UM;ITURBE, Antonio G. e OMIST, Alex;1;1
788;MÚMIA DESAPARECIDA, A;ITURBE, Antonio G. e OMIST, Alex;1;1
789;DIA NAS CORRIDAS DE CAVALO, UM;ITURBE, Antonio G. e OMIST, Alex;1;1
